priority_score,fonte,nome,instagram,telefone,whatsapp_link,site,cidade,pais,bairro,nicho,tem_link_na_bio,tem_site,tem_whatsapp_visivel,score,observacao,link_origem,status,data_coleta
4,Instagram,michellyalvesdesigner,https://www.instagram.com/michellyalvesdesigner/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/michellyalvesdesigner/,novo,2026-02-12T19:45:24+00:00
4,Instagram,nataliabeauty,https://www.instagram.com/nataliabeauty/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: designer de sobrancelhas Portugal perfil instagram,https://www.instagram.com/nataliabeauty/,novo,2026-02-12T19:45:24+00:00
4,Instagram,nathaliabatistadesigner,https://www.instagram.com/nathaliabatistadesigner/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/nathaliabatistadesigner/,novo,2026-02-12T19:45:24+00:00
4,Instagram,nicoly_portugal,https://www.instagram.com/nicoly_portugal/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/nicoly_portugal/,novo,2026-02-12T19:45:24+00:00
4,Instagram,rs.designer.de.sobrancelha,https://www.instagram.com/rs.designer.de.sobrancelha/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/rs.designer.de.sobrancelha/,novo,2026-02-12T19:45:24+00:00
4,Instagram,sdtijucauruguai,https://www.instagram.com/sdtijucauruguai/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/sdtijucauruguai/,novo,2026-02-12T19:45:24+00:00
4,Instagram,sobrancelhadelas,https://www.instagram.com/sobrancelhadelas/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/sobrancelhadelas/,novo,2026-02-12T19:45:24+00:00
4,Instagram,sobrancelhamarcada,https://www.instagram.com/sobrancelhamarcada/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: designer de sobrancelhas Portugal perfil instagram,https://www.instagram.com/sobrancelhamarcada/,novo,2026-02-12T19:45:24+00:00
4,Instagram,sobrancelhas.forever,https://www.instagram.com/sobrancelhas.forever/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/sobrancelhas.forever/,novo,2026-02-12T19:45:24+00:00
4,Instagram,sobrancelhas.portugal,https://www.instagram.com/sobrancelhas.portugal/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/sobrancelhas.portugal/,novo,2026-02-12T19:45:24+00:00
4,Instagram,sobrancelhas.store,https://www.instagram.com/sobrancelhas.store/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/sobrancelhas.store/,novo,2026-02-12T19:45:24+00:00
4,Instagram,sobrancelhasderainha,https://www.instagram.com/sobrancelhasderainha/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: designer de sobrancelhas Portugal perfil instagram,https://www.instagram.com/sobrancelhasderainha/,novo,2026-02-12T19:45:24+00:00
4,Instagram,sobrancelhasdesign,https://www.instagram.com/sobrancelhasdesign/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/sobrancelhasdesign/,novo,2026-02-12T19:45:24+00:00
4,Instagram,sobrancelhasdesignsantarem,https://www.instagram.com/sobrancelhasdesignsantarem/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: designer de sobrancelhas Portugal perfil instagram,https://www.instagram.com/sobrancelhasdesignsantarem/,novo,2026-02-12T19:45:24+00:00
4,Instagram,studiojoicevalle,https://www.instagram.com/studiojoicevalle/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/studiojoicevalle/,novo,2026-02-12T19:45:24+00:00
4,Instagram,studioleialiberato,https://www.instagram.com/studioleialiberato/,,,,,Portugal,,designer de sobrancelhas,,não,não,4,IG Locator | Bio nao verificada (modo rapido). Encontrado por: site:instagram.com designer de sobrancelhas Portugal instagram,https://www.instagram.com/studioleialiberato/,novo,2026-02-12T19:45:24+00:00
